Link,Giá tổng,Giá/m²,Số phòng ngủ,Số phòng vệ sinh,Giấy tờ pháp lý,Loại hình căn hộ,Diện tích,Hướng cửa chính,Hướng ban công,Tình trạng nội thất,Xã/Phường,Quận/Huyện
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ba-dinh-ha-noi/120369041.htm#px=SR-stickyad-[PO-1][PL-top],3.28,50.46,2,2,Sổ hồng riêng,Tập thể,65.0,,,Nội thất đầy đủ,Ngọc Khánh,Ba Đình
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-dong-da-ha-noi/120551779.htm#px=SR-stickyad-[PO-2][PL-top],1.65,33.0,2,1,Sổ hồng riêng,Chung cư,50.0,,,Nội thất cao cấp,Quang Trung,Đống Đa
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120671736.htm#px=SR-stickyad-[PO-3][PL-top],2.86,42.06,2,1,Sổ hồng riêng,Tập thể,68.0,,,Nội thất đầy đủ,Thanh Xuân Bắc,Thanh Xuân
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120542779.htm#px=SR-stickyad-[PO-4][PL-top],1.86,33.82,2,1,Sổ hồng riêng,Chung cư mini,55.0,,,Hoàn thiện cơ bản,Nhân Chính,Thanh Xuân
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/118958736.htm,2.5,41.67,2,1,Sổ hồng riêng,Chung cư,60.0,,,Nội thất đầy đủ,Trâu Quỳ,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/106928409.htm,2.65,44.17,2,1,Sổ hồng riêng,Chung cư,60.0,,,Nội thất đầy đủ,Trâu Quỳ,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/115426307.htm,2.2,46.81,1,1,Sổ hồng riêng,Chung cư,47.0,,,Nội thất cao cấp,Trâu Quỳ,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/120304491.htm,4.0,50.63,2,2,Sổ hồng riêng,Chung cư,79.0,Tây Bắc,Đông Nam,Nội thất đầy đủ,Giang Biên,Long Biên
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/118266826.htm,2.55,42.5,2,1,Sổ hồng riêng,Chung cư,60.0,,,Hoàn thiện cơ bản,Trâu Quỳ,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/118266401.htm,3.1,44.29,2,2,Sổ hồng riêng,Chung cư,70.0,,,Nội thất đầy đủ,Trâu Quỳ,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/115161976.htm,3.5,43.75,3,2,Sổ hồng riêng,Chung cư,80.0,,,Hoàn thiện cơ bản,Đa Tốn,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/107577769.htm,2.2,46.81,1,1,Sổ hồng riêng,Chung cư,47.0,,,Hoàn thiện cơ bản,Đa Tốn,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/115110281.htm,2.7,45.0,2,1,Sổ hồng riêng,Chung cư,60.0,,,Hoàn thiện cơ bản,Trâu Quỳ,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/113054675.htm,3.1,44.29,2,2,Sổ hồng riêng,Chung cư,70.0,,,Hoàn thiện cơ bản,Trâu Quỳ,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/115610257.htm,2.2,46.81,1,1,Sổ hồng riêng,Chung cư,47.0,,,Hoàn thiện cơ bản,Trâu Quỳ,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-cau-giay-ha-noi/120700955.htm#px=SR-special_display_ad-[PO-16][PL-default],4.15,64.84,2,2,Sổ hồng riêng,Chung cư,64.0,,,Nội thất cao cấp,Trung Hoà,Cầu Giấy
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/118472120.htm,2.24,47.66,1,1,Sổ hồng riêng,Chung cư,47.0,,,Nội thất đầy đủ,Trâu Quỳ,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/117096887.htm,2.5,41.67,2,1,Sổ hồng riêng,Chung cư,60.0,,,Hoàn thiện cơ bản,Trâu Quỳ,Gia Lâm
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-thanh-xuan-ha-noi/120679022.htm#px=SR-special_display_ad-[PO-19][PL-default],4.93,54.78,2,1,Sổ hồng riêng,Chung cư,90.0,,,Hoàn thiện cơ bản,Nhân Chính,Thanh Xuân
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/120700656.htm,3.528,45.83,3,2,Sổ hồng riêng,Chung cư,77.0,Đông,Tây,Nội thất đầy đủ,Giang Biên,Long Biên
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-long-bien-ha-noi/120700510.htm,3.111,41.65,2,2,Sổ hồng riêng,Chung cư,74.7,Đông,Tây,Nội thất đầy đủ,Giang Biên,Long Biên
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-ha-dong-ha-noi/120678237.htm#px=SR-special_display_ad-[PO-22][PL-default],6.2,40.0,3,2,Sổ hồng riêng,Chung cư,155.0,,,Nội thất đầy đủ,Văn Quán,Hà Đông
