Link,Giá tổng,Giá/m²,Giấy tờ pháp lý,Loại hình đất,Chiều ngang,Chiều dài,Diện tích đất,Hướng cửa chính,Xã/Phường,Quận/Huyện
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120093115.htm#px=SR-stickyad-[PO-1][PL-top],8.15,83.16,Đã có sổ,Đất thổ cư,5.0,20.0,98.0,Nam,Ninh Sở,Thường Tín
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120671648.htm#px=SR-stickyad-[PO-2][PL-top],1.28,20.98,Đã có sổ,Đất thổ cư,6.0,10.0,61.0,,Phù Linh,Sóc Sơn
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/120705355.htm,3.5,32.56,Đã có sổ,Đất thổ cư,5.0,,107.5,,Bình Yên,Thạch Thất
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/120705212.htm,2.5,35.11,Đã có sổ,Đất thổ cư,5.0,,71.2,,Bình Yên,Thạch Thất
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120704994.htm,6.83,140.82,Đã có sổ,Đất thổ cư,3.7,,48.5,,Thượng Thanh,Long Biên
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120704955.htm#px=SR-special_display_ad-[PO-6][PL-default],7.3,76.04,Đã có sổ,Đất thổ cư,5.45,18.0,96.0,Tây Bắc,Tiên Dương,Đông Anh
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/119195838.htm,6.6,71.74,Đã có sổ,Đất thổ cư,4.35,21.15,92.0,Đông Nam,Giang Biên,Long Biên
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/117607313.htm,5.2,65.82,Đã có sổ,Đất thổ cư,5.36,11.81,79.0,Đông Bắc,Giang Biên,Long Biên
https://www.nhatot.com/mua-ban-dat-quan-dong-da-ha-noi/120704823.htm,6.5,76.47,Đã có sổ,Đất thổ cư,4.0,20.0,85.0,,Khâm Thiên,Đống Đa
https://www.nhatot.com/mua-ban-dat-quan-hoang-mai-ha-noi/119844067.htm#px=SR-special_display_ad-[PO-10][PL-default],23.0,230.0,Đã có sổ,Đất thổ cư,6.6,,100.0,,Định Công,Hoàng Mai
https://www.nhatot.com/mua-ban-dat-quan-dong-da-ha-noi/120704420.htm,7.75,193.75,Đã có sổ,Đất thổ cư,4.0,10.0,40.0,,Thịnh Quang,Đống Đa
https://www.nhatot.com/mua-ban-dat-quan-hai-ba-trung-ha-noi/120704355.htm#px=SR-special_display_ad-[PO-12][PL-default],11.8,143.9,Đã có sổ,Đất thổ cư,5.2,16.0,82.0,,Minh Khai,Hai Bà Trưng
