Link,Giá tổng,Giá/m²,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Giấy tờ pháp lý,Loại hình nhà ở,Chiều ngang,Chiều dài,Diện tích đất,Hướng cửa chính,Tình trạng nội thất,Xã/Phường,Quận/Huyện
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/119873827.htm#px=SR-stickyad-[PO-1][PL-top],2.92,73.0,4,4,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,,40.0,,Hoàn thiện cơ bản,Yên Nghĩa,Hà Đông
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120606377.htm#px=SR-stickyad-[PO-2][PL-top],11.9,157.41,3,3,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,,75.6,,Nội thất đầy đủ,Ngọc Thụy,Long Biên
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/119914033.htm,8.0,200.0,8,8,5,Đã có sổ,"Nhà ngõ, hẻm",4.0,10.0,40.0,,Nội thất đầy đủ,Thanh Xuân Trung,Thanh Xuân
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/119987241.htm,7.9,168.09,5,4,4,Đã có sổ,"Nhà ngõ, hẻm",4.0,11.8,47.0,,Nội thất đầy đủ,Thịnh Quang,Đống Đa
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/120691802.htm,2.1,70.0,3,3,4,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,,30.0,,Hoàn thiện cơ bản,Thanh Trì,Hoàng Mai
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120313241.htm,5.5,183.33,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,30.0,,Nội thất đầy đủ,Ngã Tư Sở,Đống Đa
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120293561.htm,5.8,232.0,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,25.0,,Nội thất cao cấp,Đội Cấn,Ba Đình
https://www.nhatot.com/mua-ban-nha-dat-huyen-gia-lam-ha-noi/120645421.htm,3.76,94.0,2,2,33,Đã có sổ,"Nhà ngõ, hẻm",8.0,5.0,40.0,,Nội thất cao cấp,Dương Quang,Gia Lâm
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/119853594.htm,6.0,139.53,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,43.0,,Nội thất đầy đủ,Đội Cấn,Ba Đình
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120241303.htm,6.0,200.0,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,30.0,,Nội thất cao cấp,Liễu Giai,Ba Đình
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120645212.htm,13.0,406.25,3,3,3,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,8.0,32.0,Tây,Nội thất đầy đủ,Thạch Bàn,Long Biên
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120566706.htm#px=SR-special_display_ad-[PO-12][PL-default],5.19,207.6,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,25.0,,Nội thất cao cấp,Ngọc Hà,Ba Đình
https://www.nhatot.com/mua-ban-nha-dat-huyen-quoc-oai-ha-noi/120691355.htm,2.4,55.81,3,3,4,Đã có sổ,"Nhà ngõ, hẻm",,,43.0,,Hoàn thiện cơ bản,Phượng Cách,Quốc Oai
