Link,Địa chỉ,Giá tổng,Giá/m²,Giấy tờ pháp lý,Loại hình đất,Chiều ngang,Chiều dài,Diện tích đất,Hướng cửa chính
https://www.nhatot.com/mua-ban-dat-huyen-thuong-tin-ha-noi/120093115.htm#px=SR-stickyad-[PO-1][PL-top],"Vành Đai 4 Hà Nội, Xã Ninh Sở, Huyện Thường Tín, Hà Nội","8,15 tỷ","83,16 triệu/m²",Đã có sổ,Đất thổ cư,5 m,20 m,98 m²,Nam
https://www.nhatot.com/mua-ban-dat-huyen-soc-son-ha-noi/120671648.htm#px=SR-stickyad-[PO-2][PL-top],"Phù Linh, Xã Phù Linh, Huyện Sóc Sơn, Hà Nội","1,28 tỷ","20,98 triệu/m²",Đã có sổ,Đất thổ cư,6 m,10 m,61 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/120705355.htm,"Tl420, Xã Bình Yên, Huyện Thạch Thất, Hà Nội","3,5 tỷ","32,56 triệu/m²",Đã có sổ,Đất thổ cư,5 m,,107.5 m²,
https://www.nhatot.com/mua-ban-dat-huyen-thach-that-ha-noi/120705212.htm,"TL420, Xã Bình Yên, Huyện Thạch Thất, Hà Nội","2,5 tỷ","35,11 triệu/m²",Đã có sổ,Đất thổ cư,5 m,,71.2 m²,
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120704994.htm,"Phố Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội","6,83 tỷ","140,82 triệu/m²",Đã có sổ,Đất thổ cư,3.7 m,,48.5 m²,
https://www.nhatot.com/mua-ban-dat-huyen-dong-anh-ha-noi/120704955.htm#px=SR-special_display_ad-[PO-6][PL-default],"Cổ Dương, Xã Tiên Dương, Huyện Đông Anh, Hà Nội","7,3 tỷ","76,04 triệu/m²",Đã có sổ,Đất thổ cư,5.45 m,18 m,96 m²,Tây Bắc
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/119195838.htm,"Phố Tình Quang, Phường Giang Biên, Quận Long Biên, Hà Nội","6,6 tỷ","71,74 triệu/m²",Đã có sổ,Đất thổ cư,4.35 m,21.15 m,92 m²,Đông Nam
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/117607313.htm,"Phố Tình Quang, Phường Giang Biên, Quận Long Biên, Hà Nội","5,2 tỷ","65,82 triệu/m²",Đã có sổ,Đất thổ cư,5.36 m,11.81 m,79 m²,Đông Bắc
https://www.nhatot.com/mua-ban-dat-quan-dong-da-ha-noi/120704823.htm,"Phố Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội","6,5 tỷ","76,47 triệu/m²",Đã có sổ,Đất thổ cư,4 m,20 m,85 m²,
https://www.nhatot.com/mua-ban-dat-quan-hoang-mai-ha-noi/119844067.htm#px=SR-special_display_ad-[PO-10][PL-default],"Phố Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội",23 tỷ,230 triệu/m²,Đã có sổ,Đất thổ cư,6.6 m,,100 m²,
https://www.nhatot.com/mua-ban-dat-quan-dong-da-ha-noi/120704420.htm,"Ngõ Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà Nội","7,75 tỷ","193,75 triệu/m²",Đã có sổ,Đất thổ cư,4 m,10 m,40 m²,
https://www.nhatot.com/mua-ban-dat-quan-hai-ba-trung-ha-noi/120704355.htm#px=SR-special_display_ad-[PO-12][PL-default],"Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","11,8 tỷ","143,90 triệu/m²",Đã có sổ,Đất thổ cư,5.2 m,16 m,82 m²,
https://www.nhatot.com/mua-ban-dat-huyen-gia-lam-ha-noi/120704061.htm,"ngõ 270 Dương Đức Hiền, Xã Kim Sơn, Huyện Gia Lâm, Hà Nội","2,45 tỷ","42,24 triệu/m²",Đã có sổ,Đất thổ cư,,,58 m²,
https://www.nhatot.com/mua-ban-dat-quan-long-bien-ha-noi/120607627.htm#px=SR-special_display_ad-[PO-14][PL-default],"Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội","17,45 tỷ","151,74 triệu/m²",Đã có sổ,Đất thổ cư,4.3 m,26 m,115 m²,
https://www.nhatot.com/mua-ban-dat-huyen-phu-xuyen-ha-noi/120703713.htm,"Liên Thôn , Xã Khai Thái, Huyện Phú Xuyên, Hà Nội",770 triệu,"17,11 triệu/m²",Đã có sổ,Đất thổ cư,5 m,9 m,45 m²,
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/120607276.htm#px=SR-special_display_ad-[PO-16][PL-default],"Kiến Hưng, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","29,8 tỷ","113,74 triệu/m²",Đang chờ sổ,Đất nền dự án,15 m,17 m,262 m²,
https://www.nhatot.com/mua-ban-dat-quan-ha-dong-ha-noi/119779566.htm#px=SR-special_display_ad-[PO-17][PL-default],"Phố Hoàng Công, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","16,5 tỷ","226,03 triệu/m²",Đã có sổ,Đất thổ cư,,,73 m²,
