Link,Địa chỉ,Giá tổng,Giá/m²,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Giấy tờ pháp lý,Loại hình nhà ở,Chiều ngang,Chiều dài,Diện tích sử dụng,Diện tích đất,Hướng cửa chính,Tình trạng nội thất
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/119873827.htm#px=SR-stickyad-[PO-1][PL-top],"Phố Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","2,92 tỷ",73 triệu/m²,4 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,40 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120606377.htm#px=SR-stickyad-[PO-2][PL-top],"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội","11,9 tỷ","157,41 triệu/m²",3 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,75.6 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/119914033.htm,"599, Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",8 tỷ,200 triệu/m²,8 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",4 m,10 m,40 m²,40 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/119987241.htm,"8, Ngõ Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà Nội","7,9 tỷ","168,09 triệu/m²",5 phòng,4 phòng,4,Đã có sổ,"Nhà ngõ, hẻm",4 m,11.8 m,188 m²,47 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-hoang-mai-ha-noi/120691802.htm,"Phố Thanh Đàm, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội","2,1 tỷ",70 triệu/m²,3 phòng,,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,,,30 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120313241.htm,"Đường Trường Chinh, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","5,5 tỷ","183,33 triệu/m²",3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,30 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120293561.htm,"Phố Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội","5,8 tỷ",232 triệu/m²,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,25 m²,,
https://www.nhatot.com/mua-ban-nha-dat-huyen-gia-lam-ha-noi/120645421.htm,"Đường Dương Quang, Xã Dương Quang, Huyện Gia Lâm, Hà Nội","3,76 tỷ",94 triệu/m²,2 phòng,2 phòng,33,Đã có sổ,"Nhà ngõ, hẻm",8 m,5 m,40 m²,40 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/119853594.htm,"Phố Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",6 tỷ,"139,53 triệu/m²",3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,43 m²,,
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120241303.htm,"Đường Hoàng Hoa Thám, Phường Liễu Giai, Quận Ba Đình, Hà Nội",6 tỷ,200 triệu/m²,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,30 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/120645212.htm,"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",13 tỷ,"406,25 triệu/m²",3 phòng,3 phòng,3,Đã có sổ,"Nhà mặt phố, mặt tiền",4 m,8 m,120 m²,32 m²,Tây,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/120566706.htm#px=SR-special_display_ad-[PO-12][PL-default],"Thuỵ Khuê , Phường Ngọc Hà, Quận Ba Đình, Hà Nội","5,19 tỷ","207,60 triệu/m²",3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,25 m²,,
https://www.nhatot.com/mua-ban-nha-dat-huyen-quoc-oai-ha-noi/120691355.htm,"Phượng Cách, Xã Phượng Cách, Huyện Quốc Oai, Hà Nội","2,4 tỷ","55,81 triệu/m²",3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,43 m²,,
https://www.nhatot.com/mua-ban-nha-dat-huyen-hoai-duc-ha-noi/119276261.htm#px=SR-special_display_ad-[PO-14][PL-default],Đường Đồng Nhân,"3,6 tỷ","98,90 triệu/m²",3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",4 m,9 m,100 m²,36.4 m²,Tây Bắc,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/120691323.htm#px=SR-special_display_ad-[PO-15][PL-default],"Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","7,7 tỷ","208,11 triệu/m²",5 phòng,4 phòng,5,Đã có sổ,"Nhà ngõ, hẻm",3.4 m,11 m,200 m²,37 m²,,Nội thất đầy đủ
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/120691306.htm,"Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà Nội",120 tỷ,800 triệu/m²,7 phòng,Nhiều hơn 6 phòng,7,Đã có sổ,"Nhà mặt phố, mặt tiền",12 m,,,150 m²,,Nội thất cao cấp
https://www.nhatot.com/mua-ban-nha-dat-quan-cau-giay-ha-noi/120691254.htm,"Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",32 tỷ,"336,84 triệu/m²",4 phòng,,4,Đã có sổ,Nhà biệt thự,8 m,,,95 m²,,
